target_date,gross_revenue,total_costs,net_revenue,iex_fee,scheduling,degradation,dsm
2025-05-15,1520332.1707540208,219312.2030152424,1301019.9677387783,64088.7678,2576.7989102,98664.8,53981.83630504242
2025-05-16,2784921.464429569,287320.1951990975,2497601.2692304715,83089.0846,2747.8017614,127915.82960000001,73567.47923769752
2025-05-17,3022211.229352401,175051.91248709738,2847159.3168653036,53155.103800000004,2478.3959342,81832.4,37586.01275289737
2025-05-18,2344772.200077856,205029.8817343887,2139742.318343467,64088.7678,2576.7989102,98664.8,39699.51502418869
2025-05-19,1330543.859404228,210598.11574095144,1119945.7436632765,64088.7678,2576.7989102,98664.8,45267.74903075144
2025-05-20,1525096.9011228047,215028.27123078436,1310068.6298920205,64088.7678,2576.7989102,98664.8,49697.90452058434
2025-05-21,2901982.30208154,244099.3153268825,2657882.9867546577,74265.8238,2668.3924142,114332.40000000001,52832.69911268249
2025-05-22,3379446.613484973,240181.34616271546,3139265.2673222576,74265.8236,2668.3924124,114332.40000000001,48914.73015031544
2025-05-23,900240.126191275,205521.12720478617,694718.9989864888,64088.7678,2576.7989102,98664.8,40190.760494586175
2025-05-24,1360388.5989892222,200435.82966646284,1159952.7693227595,64088.7678,2576.7989102,98664.8,35105.462956262825
2025-05-25,1895693.9274035853,196452.64262195985,1699241.2847816255,64088.7678,2576.7989102,98664.8,31122.27591175984
2025-05-26,1625388.0199183435,240067.9614294362,1385320.0584889073,76001.26749999999,2684.0114075,117004.119375,44378.56314693622
2025-05-27,1288892.1785625182,172816.93679727628,1116075.2417652418,53155.103800000004,2478.3959342,81832.4,35351.03706307628
2025-05-28,1321408.9958852006,234299.90177651768,1087109.0941086828,72155.4206,2649.3987854,111083.4296,48411.65279111767
2025-05-29,1339001.268549323,168275.67872822413,1170725.5898210988,53155.103800000004,2478.3959342,81832.4,30809.778994024113
2025-05-30,1532834.383642755,194798.7609571101,1338035.6226856448,64088.7678,2576.7989102,98664.8,29468.3942469101
2025-05-31,1173164.9338682883,194015.9446583223,979148.989209966,64088.7678,2576.7989102,98664.8,28685.577948122293
2025-06-01,604796.6164622871,192596.21016815034,412200.4062941368,64088.7678,2576.7989102,98664.8,27265.843457950345
2025-06-02,924673.4190170848,199800.3607524641,724873.0582646206,64088.7678,2576.7989102,98664.8,34469.99404226411
2025-06-03,1101636.776158074,268582.7459886773,833054.0301693967,83089.0846,2747.8017614,127915.82960000001,54830.03002727729
2025-06-04,1429568.6594371074,203429.9464732542,1226138.7129638533,64088.7678,2576.7989102,98664.8,38099.57976305421
2025-06-05,1482144.7167150432,209157.90070631538,1272986.8160087278,64088.7678,2576.7989102,98664.8,43827.53399611537
2025-06-06,2548622.835609015,216634.85800289735,2331987.9776061177,64088.7678,2576.7989102,98664.8,51304.49129269734
2025-06-07,2119783.1317255916,276741.57470349886,1843041.5570220929,83089.0846,2747.8017614,127915.82960000001,62988.85874209885
2025-06-08,1851111.6658944644,213699.16823757766,1637412.4976568867,64088.7678,2576.7989102,98664.8,48368.80152737767
2025-06-09,1719829.3540868345,193646.6179824994,1526182.7361043352,57000.9507,2513.0085563000002,87753.089775,46379.568951199384
2025-06-10,1923105.5963923065,215374.10240128625,1707731.4939910201,64088.7678,2576.7989102,98664.8,50043.73569108626
2025-06-11,2172184.529109425,217856.37351072725,1954328.1555986977,64088.7678,2576.7989102,98664.8,52526.00680052723
2025-06-12,1869396.7197446525,217914.50786916236,1651482.2118754901,64088.7678,2576.7989102,98664.8,52584.14115896237
2025-06-13,2349180.252649133,218469.92179418574,2130710.330854947,64088.7678,2576.7989102,98664.8,53139.55508398573
2025-06-14,3049292.5769469887,342680.42571020965,2706612.151236779,102089.4016,2918.8046144,157166.85984999998,80505.35964580969
2025-06-15,1981884.434969362,211984.9618395639,1769899.4731297982,64088.7678,2576.7989102,98664.8,46654.5951293639
2025-06-16,2313772.998335666,183917.4368953445,2129855.5614403216,57000.9507,2513.0085563000002,87753.089775,36650.38786404449
2025-06-17,2641945.753814758,203212.20210271125,2438733.5517120464,64088.7678,2576.7989102,98664.8,37881.83539251123
2025-06-18,970404.8854188756,196345.2326324875,774059.6527863881,64088.7678,2576.7989102,98664.8,31014.86592228747
2025-06-19,421872.321730734,196019.16963895757,225853.15209177646,64088.7678,2576.7989102,98664.8,30688.80292875757
2025-06-20,795637.5641041503,175303.16141481057,620334.4026893397,57000.9507,2513.0085563000002,87753.089775,28036.11238351056
2025-06-21,476345.96759938454,106381.6515761911,369964.3160231934,32044.384000000002,2288.399456,49332.4,22716.4681201911
2025-06-22,678471.6043148425,194589.46590366933,483882.13841117313,64088.7678,2576.7989102,98664.8,29259.099193469337
2025-06-23,1409142.4179975928,105647.20676349165,1303495.211234101,32044.384000000002,2288.399456,49332.4,21982.023307491647
2025-06-24,914257.287605808,237193.22105201014,677064.0665537978,74265.8236,2668.3924124,114332.40000000001,45926.605039610135
