target_date,expected_revenue,realized_revenue,net_revenue,soc_initial,soc_terminal
2025-06-15,3542207.353891699,1519736.722084353,1310741.6026646718,20.0,20.0
2025-06-16,3660598.814454444,2322855.122081485,2112650.9530204167,20.0,20.0
2025-06-17,3495364.948992379,2576363.453757249,2369082.0090919957,20.0,20.0
2025-06-18,3395591.8858162556,1011720.3190084902,813789.6886958722,20.0,20.0
2025-06-19,2272203.1740375557,472963.58819286467,276628.0219313123,20.0,20.0
2025-06-20,1256226.5914296159,839519.872125789,643690.4071511766,20.0,20.0
2025-06-21,1098443.932440231,1023725.3285381692,815763.896121744,20.0,20.0
2025-06-22,1984148.839778775,622903.9014621954,428650.7608961762,20.0,20.0
2025-06-23,2077252.7189812746,1500156.3004592084,1292494.443343022,20.0,20.0
2025-06-24,1277079.8337648918,1097207.1194212455,891869.2155159598,20.0,20.0
